code,label,count_for,count_against,count_abstentions,count_did_not_vote,group_voted,division,vote_id
EPP,European Peopleâs Party,43,135,2,7,0,0.25,183884
SD,Progressive Alliance of Socialists and Democrats,35,90,0,11,0,0.28,183884
PFE,Patriots for Europe,72,1,7,6,1,0.09999999999999998,183884
ECR,European Conservatives and Reformists,35,39,0,5,0,0.472972972972973,183884
RENEW,Renew Europe,24,46,0,5,0,0.34285714285714286,183884
GREEN_EFA,Greens/European Free Alliance,36,12,1,4,1,0.26530612244897955,183884
GUE_NGL,The Left in the European Parliament,38,0,0,8,1,0.0,183884
NI,Non-attached Members,27,0,1,2,1,0.0357142857142857,183884
ESN,Europe of Sovereign Nations,24,1,0,2,1,0.040000000000000036,183884
EPP,European Peopleâs Party,181,0,0,7,1,0.0,183160
SD,Progressive Alliance of Socialists and Democrats,127,0,0,9,1,0.0,183160
PFE,Patriots for Europe,9,63,7,6,0,0.20253164556962022,183160
ECR,European Conservatives and Reformists,54,14,4,7,1,0.25,183160
RENEW,Renew Europe,65,0,1,9,1,0.015151515151515138,183160
GREEN_EFA,Greens/European Free Alliance,47,0,4,2,1,0.07843137254901966,183160
GUE_NGL,The Left in the European Parliament,0,35,4,7,0,0.10256410256410253,183160
NI,Non-attached Members,9,9,8,4,0,0.6538461538461539,183160
ESN,Europe of Sovereign Nations,0,23,0,4,0,0.0,183160
EPP,European Peopleâs Party,170,0,0,17,1,0.0,183177
SD,Progressive Alliance of Socialists and Democrats,94,1,2,39,1,0.030927835051546393,183177
PFE,Patriots for Europe,0,28,50,8,0,0.641025641025641,183177
ECR,European Conservatives and Reformists,58,4,5,12,1,0.13432835820895528,183177
RENEW,Renew Europe,64,0,0,11,1,0.0,183177
GREEN_EFA,Greens/European Free Alliance,45,0,0,8,1,0.0,183177
GUE_NGL,The Left in the European Parliament,8,30,0,8,0,0.21052631578947367,183177
NI,Non-attached Members,13,4,11,2,1,0.5357142857142857,183177
ESN,Europe of Sovereign Nations,19,1,3,4,1,0.17391304347826086,183177
EPP,European Peopleâs Party,0,172,0,16,0,0.0,182887
SD,Progressive Alliance of Socialists and Democrats,0,120,0,16,0,0.0,182887
PFE,Patriots for Europe,61,3,13,8,1,0.20779220779220775,182887
ECR,European Conservatives and Reformists,2,69,4,4,0,0.07999999999999996,182887
RENEW,Renew Europe,0,67,0,8,0,0.0,182887
GREEN_EFA,Greens/European Free Alliance,0,48,0,5,0,0.0,182887
GUE_NGL,The Left in the European Parliament,0,32,8,6,0,0.19999999999999996,182887
NI,Non-attached Members,19,4,1,6,1,0.20833333333333337,182887
ESN,Europe of Sovereign Nations,20,2,1,4,1,0.13043478260869568,182887
EPP,European Peopleâs Party,171,0,0,16,1,0.0,183057
SD,Progressive Alliance of Socialists and Democrats,7,105,2,22,0,0.07894736842105265,183057
PFE,Patriots for Europe,14,56,8,8,0,0.28205128205128205,183057
ECR,European Conservatives and Reformists,4,6,56,13,0,0.9090909090909091,183057
RENEW,Renew Europe,62,0,0,13,1,0.0,183057
GREEN_EFA,Greens/European Free Alliance,45,3,0,5,1,0.0625,183057
GUE_NGL,The Left in the European Parliament,1,38,0,7,0,0.02564102564102566,183057
NI,Non-attached Members,14,13,1,2,1,0.5,183057
ESN,Europe of Sovereign Nations,0,26,0,1,0,0.0,183057
EPP,European Peopleâs Party,134,0,0,54,1,0.0,182922
SD,Progressive Alliance of Socialists and Democrats,91,0,2,43,1,0.021505376344086002,182922
PFE,Patriots for Europe,50,0,11,24,1,0.180327868852459,182922
ECR,European Conservatives and Reformists,55,0,4,20,1,0.06779661016949157,182922
RENEW,Renew Europe,55,0,0,20,1,0.0,182922
GREEN_EFA,Greens/European Free Alliance,36,0,5,12,1,0.12195121951219512,182922
GUE_NGL,The Left in the European Parliament,13,5,18,10,1,0.6388888888888888,182922
NI,Non-attached Members,3,12,5,10,0,0.4,182922
ESN,Europe of Sovereign Nations,1,20,3,3,0,0.16666666666666663,182922
EPP,European Peopleâs Party,169,0,0,19,1,0.0,182807
SD,Progressive Alliance of Socialists and Democrats,120,0,3,13,1,0.024390243902439046,182807
PFE,Patriots for Europe,2,61,15,7,0,0.21794871794871795,182807
ECR,European Conservatives and Reformists,68,2,4,5,1,0.08108108108108103,182807
RENEW,Renew Europe,68,0,0,7,1,0.0,182807
GREEN_EFA,Greens/European Free Alliance,47,0,1,5,1,0.02083333333333337,182807
GUE_NGL,The Left in the European Parliament,19,16,7,4,1,0.5476190476190477,182807
NI,Non-attached Members,4,21,1,4,0,0.1923076923076923,182807
ESN,Europe of Sovereign Nations,3,20,1,3,0,0.16666666666666663,182807
EPP,European Peopleâs Party,147,7,18,16,1,0.14534883720930236,183124
SD,Progressive Alliance of Socialists and Democrats,127,0,0,9,1,0.0,183124
PFE,Patriots for Europe,0,50,28,7,0,0.3589743589743589,183124
ECR,European Conservatives and Reformists,0,68,3,8,0,0.04225352112676062,183124
RENEW,Renew Europe,66,2,0,7,1,0.02941176470588236,183124
GREEN_EFA,Greens/European Free Alliance,49,0,0,4,1,0.0,183124
GUE_NGL,The Left in the European Parliament,37,0,0,9,1,0.0,183124
NI,Non-attached Members,18,3,5,4,1,0.3076923076923077,183124
ESN,Europe of Sovereign Nations,0,23,1,3,0,0.04166666666666663,183124
EPP,European Peopleâs Party,173,0,0,15,1,0.0,182511
SD,Progressive Alliance of Socialists and Democrats,121,1,3,11,1,0.03200000000000003,182511
PFE,Patriots for Europe,10,49,19,7,0,0.3717948717948718,182511
ECR,European Conservatives and Reformists,70,2,3,4,1,0.06666666666666665,182511
RENEW,Renew Europe,66,0,2,7,1,0.02941176470588236,182511
GREEN_EFA,Greens/European Free Alliance,41,3,4,5,1,0.14583333333333337,182511
GUE_NGL,The Left in the European Parliament,5,34,2,5,0,0.1707317073170732,182511
NI,Non-attached Members,5,18,3,4,0,0.3076923076923077,182511
ESN,Europe of Sovereign Nations,2,20,2,3,0,0.16666666666666663,182511
EPP,European Peopleâs Party,3,177,0,8,0,0.01666666666666672,183244
SD,Progressive Alliance of Socialists and Democrats,1,122,0,13,0,0.008130081300813052,183244
PFE,Patriots for Europe,9,63,6,7,0,0.1923076923076923,183244
ECR,European Conservatives and Reformists,5,64,4,6,0,0.12328767123287676,183244
RENEW,Renew Europe,0,68,0,7,0,0.0,183244
GREEN_EFA,Greens/European Free Alliance,0,50,0,3,0,0.0,183244
GUE_NGL,The Left in the European Parliament,0,37,0,9,0,0.0,183244
NI,Non-attached Members,2,19,3,6,0,0.20833333333333337,183244
ESN,Europe of Sovereign Nations,24,0,0,3,1,0.0,183244
EPP,European Peopleâs Party,2,166,5,15,0,0.040462427745664775,182704
SD,Progressive Alliance of Socialists and Democrats,126,0,0,10,1,0.0,182704
PFE,Patriots for Europe,5,73,0,7,0,0.0641025641025641,182704
ECR,European Conservatives and Reformists,0,75,0,4,0,0.0,182704
RENEW,Renew Europe,0,53,15,7,0,0.22058823529411764,182704
GREEN_EFA,Greens/European Free Alliance,48,0,0,5,1,0.0,182704
GUE_NGL,The Left in the European Parliament,42,0,0,4,1,0.0,182704
NI,Non-attached Members,7,11,8,4,0,0.5769230769230769,182704
