id,title,timestamp,reference,topics,oeil_subjects,eurovoc_concepts,result,topics_filled,topics_effective
183021,Drones and new systems of warfare – the EU’s need to adapt to be fit for today’s security challenges,2026-01-22T12:06:20,A10-0270/2025,,"Common foreign and security policy (CFSP), Common security and defence policy (CSDP); WEU, NATO",,ADOPTED,"Defense, Foreign affairs","Defense, Foreign affairs"
183057,Choice of performance indicators for audit and budgetary control in the context of financing measures to support the implementation of future European competitiveness,2026-01-22T12:08:01,A10-0268/2025,"Climate change, Economy and budget, Climate and environment","Competition, Industrial competitiveness, Innovation, Climate policy, climate change, ozone layer, Economic growth, Common security and defence policy (CSDP); WEU, NATO, Common commercial policy in general, Budgetary control and discharge, implementation of the budget",,ADOPTED,"Climate change, Economy and budget, Climate and environment","Climate change, Economy and budget, Climate and environment"
183177,European technological sovereignty and digital infrastructure,2026-01-22T12:12:03,A10-0107/2025,,"Information and communication technologies, digital technologies",,ADOPTED,Digital,Digital
183538,Motion of censure on the Commission,2026-01-22T12:02:45,B10-0063/2026,,European Commission,,REJECTED,Democracy,Democracy
184027,Brutal repression against protesters in Iran,2026-01-22T12:15:26,RC-B10-0071/2026,,"Fundamental freedoms, human rights, democracy in general, Human rights situation in the world",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
184065,Attempted takeover of Lithuania’s public broadcaster and the threat to democracy in Lithuania,2026-01-22T12:21:32,RC-B10-0070/2026,,"Principles common to the Member States, EU values",,ADOPTED,Democracy,Democracy
184066,Case of Joseph Figueira Martin in the Central African Republic,2026-01-22T12:05:06,RC-B10-0066/2026,Foreign affairs,"Citizen's rights, Third-country political situation, local and regional conflicts, Fundamental freedoms, human rights, democracy in general, Relations with African countries",,ADOPTED,Foreign affairs,Foreign affairs
184067,Conviction and imminent sentencing of Jimmy Lai in Hong Kong,2026-01-22T12:05:36,RC-B10-0068/2026,,"Fundamental freedoms, human rights, democracy in general, Human rights situation in the world",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
183058,EU-Bosnia and Herzegovina Agreement on operational activities carried out by the European Border and Coast Guard Agency in Bosnia and Herzegovina,2026-01-21T12:50:38,A10-0248/2025,Migration,"External borders crossing and controls, visas, Asylum, refugees, displaced persons; Asylum, Migration and Integration Fund (AMIF)","agreement (EU), migration control, European cooperation, ratification of an agreement, border control, operation of the Institutions, external border of the EU, Frontex",ADOPTED,Migration,Migration
183107,Human rights and democracy in the world and the European Union’s policy on the matter – annual report 2025,2026-01-21T13:45:57,A10-0262/2025,,"Fundamental freedoms, human rights, democracy in general, Human rights situation in the world",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
